date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2026-09-04,8489,三貝德,otc,5000,0,5000,0,0,0,0,64,-64,4936,TPEx
2026-09-04,8905,裕國,otc,1000,0,1000,0,0,0,0,50,-50,950,TPEx
2026-09-04,8906,花王,otc,1000,3000,-2000,0,0,0,0,0,0,-2000,TPEx
2026-09-04,8908,欣雄,otc,5000,4000,1000,0,0,0,0,60,-60,940,TPEx
2026-09-04,8916,光隆,otc,18000,8000,10000,0,0,0,1000,1120,-120,9880,TPEx
2026-09-04,8917,欣泰,otc,2000,0,2000,0,0,0,4000,0,4000,6000,TPEx
2026-09-04,8924,大田,otc,13000,8000,5000,28622,0,28622,1215,1753,-538,33084,TPEx
2026-09-04,8927,北基,otc,23000,22914,86,0,0,0,254,0,254,340,TPEx
2026-09-04,8928,鉅明,otc,4000,1000,3000,0,0,0,131,0,131,3131,TPEx
2026-09-04,8929,富堡,otc,0,0,0,0,0,0,0,105,-105,-105,TPEx
2026-09-04,8930,青鋼,otc,3000,1000,2000,0,0,0,0,0,0,2000,TPEx
2026-09-04,8931,大汽電,otc,4000,1000,3000,0,0,0,0,0,0,3000,TPEx
2026-09-04,8932,智通*,otc,855222,861000,-5778,0,0,0,110140,310709,-200569,-206347,TPEx
2026-09-04,8935,邦泰,otc,19000,33000,-14000,0,0,0,0,0,0,-14000,TPEx
2026-09-04,8936,國統,otc,223000,392000,-169000,0,3206,-3206,44000,903,43097,-129109,TPEx
2026-09-04,8937,合騏*,otc,42000,39000,3000,0,0,0,5200,5000,200,3200,TPEx
2026-09-04,8938,明安,otc,20000,40000,-20000,96098,0,96098,1205,0,1205,77303,TPEx
2026-09-04,8941,關中,otc,0,1000,-1000,0,0,0,0,0,0,-1000,TPEx
2026-09-04,8942,森鉅,otc,46639,32000,14639,0,0,0,358,0,358,14997,TPEx
2026-09-04,9951,皇田,otc,0,23000,-23000,0,0,0,1459,1203,256,-22744,TPEx
2026-09-04,9960,邁達康,otc,0,1000,-1000,0,0,0,0,0,0,-1000,TPEx
2026-09-04,9962,有益,otc,0,2000,-2000,0,0,0,0,0,0,-2000,TPEx
